Waktu(s),ID_Agen,Tipe_Agen,ID_Edge,Fungsi_Edge
56.90,Ped1.1,Pedestrian,-E4,normal
56.90,Ped1.2,Pedestrian,:J5_c1,crossing
56.90,Ped2.0,Pedestrian,-E6,normal
56.90,Ped2.1,Pedestrian,-E6,normal
56.90,Ped2.2,Pedestrian,:J5_c0,crossing
57.00,CyanCar.2,Vehicle,:J5_5,internal
57.00,CyanCar.3,Vehicle,-E6,normal
57.00,RedCar.1,Vehicle,E6,normal
57.00,RedCar.2,Vehicle,:J5_13,internal
57.00,RedCar.3,Vehicle,-E4,normal
57.00,Ped1.0,Pedestrian,-E4,normal
57.00,Ped1.1,Pedestrian,-E4,normal
57.00,Ped1.2,Pedestrian,:J5_c1,crossing
57.00,Ped2.0,Pedestrian,-E6,normal
57.00,Ped2.1,Pedestrian,-E6,normal
57.00,Ped2.2,Pedestrian,:J5_c0,crossing
57.10,CyanCar.2,Vehicle,:J5_5,internal
57.10,CyanCar.3,Vehicle,-E6,normal
57.10,RedCar.1,Vehicle,E6,normal
57.10,RedCar.2,Vehicle,:J5_13,internal
57.10,RedCar.3,Vehicle,-E4,normal
57.10,Ped1.0,Pedestrian,-E4,normal
57.10,Ped1.1,Pedestrian,-E4,normal
57.10,Ped1.2,Pedestrian,:J5_c1,crossing
57.10,Ped2.0,Pedestrian,-E6,normal
57.10,Ped2.1,Pedestrian,-E6,normal
57.10,Ped2.2,Pedestrian,:J5_c0,crossing
57.20,CyanCar.2,Vehicle,:J5_5,internal
57.20,CyanCar.3,Vehicle,-E6,normal
57.20,RedCar.1,Vehicle,E6,normal
57.20,RedCar.2,Vehicle,:J5_13,internal
57.20,RedCar.3,Vehicle,-E4,normal
57.20,Ped1.0,Pedestrian,-E4,normal
57.20,Ped1.1,Pedestrian,-E4,normal
57.20,Ped1.2,Pedestrian,:J5_c1,crossing
57.20,Ped2.0,Pedestrian,-E6,normal
57.20,Ped2.1,Pedestrian,-E6,normal
57.20,Ped2.2,Pedestrian,:J5_c0,crossing
57.30,CyanCar.2,Vehicle,:J5_5,internal
57.30,CyanCar.3,Vehicle,-E6,normal
57.30,RedCar.1,Vehicle,E6,normal
57.30,RedCar.2,Vehicle,:J5_13,internal
57.30,RedCar.3,Vehicle,-E4,normal
57.30,Ped1.0,Pedestrian,-E4,normal
57.30,Ped1.1,Pedestrian,-E4,normal
57.30,Ped1.2,Pedestrian,:J5_c1,crossing
57.30,Ped2.0,Pedestrian,-E6,normal
57.30,Ped2.1,Pedestrian,-E6,normal
57.30,Ped2.2,Pedestrian,:J5_c0,crossing
57.40,CyanCar.2,Vehicle,:J5_5,internal
57.40,CyanCar.3,Vehicle,-E6,normal
57.40,RedCar.1,Vehicle,E6,normal
57.40,RedCar.2,Vehicle,:J5_13,internal
57.40,RedCar.3,Vehicle,-E4,normal
57.40,Ped1.0,Pedestrian,-E4,normal
57.40,Ped1.1,Pedestrian,-E4,normal
57.40,Ped1.2,Pedestrian,:J5_c1,crossing
57.40,Ped2.0,Pedestrian,-E6,normal
57.40,Ped2.1,Pedestrian,-E6,normal
57.40,Ped2.2,Pedestrian,:J5_c0,crossing
57.50,CyanCar.2,Vehicle,:J5_5,internal
57.50,CyanCar.3,Vehicle,-E6,normal
57.50,RedCar.1,Vehicle,E6,normal
57.50,RedCar.2,Vehicle,:J5_13,internal
57.50,RedCar.3,Vehicle,-E4,normal
57.50,Ped1.0,Pedestrian,-E4,normal
57.50,Ped1.1,Pedestrian,-E4,normal
57.50,Ped1.2,Pedestrian,:J5_c1,crossing
57.50,Ped2.0,Pedestrian,-E6,normal
57.50,Ped2.1,Pedestrian,-E6,normal
57.50,Ped2.2,Pedestrian,:J5_c0,crossing
57.60,CyanCar.2,Vehicle,:J5_5,internal
57.60,CyanCar.3,Vehicle,-E6,normal
57.60,RedCar.1,Vehicle,E6,normal
57.60,RedCar.2,Vehicle,:J5_13,internal
57.60,RedCar.3,Vehicle,-E4,normal
57.60,Ped1.0,Pedestrian,-E4,normal
57.60,Ped1.1,Pedestrian,-E4,normal
57.60,Ped1.2,Pedestrian,:J5_c1,crossing
57.60,Ped2.0,Pedestrian,-E6,normal
57.60,Ped2.1,Pedestrian,-E6,normal
57.60,Ped2.2,Pedestrian,:J5_c0,crossing
57.70,CyanCar.2,Vehicle,:J5_5,internal
57.70,CyanCar.3,Vehicle,-E6,normal
57.70,RedCar.1,Vehicle,E6,normal
57.70,RedCar.2,Vehicle,:J5_13,internal
57.70,RedCar.3,Vehicle,-E4,normal
57.70,Ped1.0,Pedestrian,-E4,normal
57.70,Ped1.1,Pedestrian,-E4,normal
57.70,Ped1.2,Pedestrian,:J5_c1,crossing
57.70,Ped2.0,Pedestrian,-E6,normal
57.70,Ped2.1,Pedestrian,-E6,normal
57.70,Ped2.2,Pedestrian,:J5_c0,crossing
57.80,CyanCar.2,Vehicle,:J5_5,internal
57.80,CyanCar.3,Vehicle,-E6,normal
57.80,RedCar.1,Vehicle,E6,normal
57.80,RedCar.2,Vehicle,:J5_13,internal
57.80,RedCar.3,Vehicle,-E4,normal
57.80,Ped1.0,Pedestrian,-E4,normal
57.80,Ped1.1,Pedestrian,-E4,normal
57.80,Ped1.2,Pedestrian,:J5_c1,crossing
57.80,Ped2.0,Pedestrian,-E6,normal
57.80,Ped2.1,Pedestrian,-E6,normal
57.80,Ped2.2,Pedestrian,:J5_c0,crossing
57.90,CyanCar.2,Vehicle,:J5_5,internal
57.90,CyanCar.3,Vehicle,-E6,normal
57.90,RedCar.1,Vehicle,E6,normal
57.90,RedCar.2,Vehicle,:J5_13,internal
57.90,RedCar.3,Vehicle,-E4,normal
57.90,Ped1.0,Pedestrian,-E4,normal
57.90,Ped1.1,Pedestrian,-E4,normal
57.90,Ped1.2,Pedestrian,:J5_c1,crossing
57.90,Ped2.0,Pedestrian,-E6,normal
57.90,Ped2.1,Pedestrian,-E6,normal
57.90,Ped2.2,Pedestrian,:J5_c0,crossing
58.00,CyanCar.2,Vehicle,:J5_5,internal
58.00,CyanCar.3,Vehicle,-E6,normal
58.00,RedCar.1,Vehicle,E6,normal
58.00,RedCar.2,Vehicle,:J5_13,internal
58.00,RedCar.3,Vehicle,-E4,normal
58.00,Ped1.0,Pedestrian,-E4,normal
58.00,Ped1.1,Pedestrian,-E4,normal
58.00,Ped1.2,Pedestrian,:J5_c1,crossing
58.00,Ped2.0,Pedestrian,-E6,normal
58.00,Ped2.1,Pedestrian,-E6,normal
58.00,Ped2.2,Pedestrian,:J5_c0,crossing
58.10,CyanCar.2,Vehicle,:J5_5,internal
58.10,CyanCar.3,Vehicle,-E6,normal
58.10,RedCar.1,Vehicle,E6,normal
58.10,RedCar.2,Vehicle,:J5_13,internal
58.10,RedCar.3,Vehicle,-E4,normal
58.10,Ped1.0,Pedestrian,-E4,normal
58.10,Ped1.1,Pedestrian,-E4,normal
58.10,Ped1.2,Pedestrian,:J5_c1,crossing
58.10,Ped2.0,Pedestrian,-E6,normal
58.10,Ped2.1,Pedestrian,-E6,normal
58.10,Ped2.2,Pedestrian,:J5_c0,crossing
58.20,CyanCar.2,Vehicle,:J5_5,internal
58.20,CyanCar.3,Vehicle,-E6,normal
58.20,RedCar.1,Vehicle,E6,normal
58.20,RedCar.2,Vehicle,:J5_13,internal
58.20,RedCar.3,Vehicle,-E4,normal
58.20,Ped1.0,Pedestrian,-E4,normal
58.20,Ped1.1,Pedestrian,-E4,normal
58.20,Ped1.2,Pedestrian,:J5_c1,crossing
58.20,Ped2.0,Pedestrian,-E6,normal
58.20,Ped2.1,Pedestrian,-E6,normal
58.20,Ped2.2,Pedestrian,:J5_c0,crossing
58.30,CyanCar.2,Vehicle,:J5_5,internal
58.30,CyanCar.3,Vehicle,-E6,normal
58.30,RedCar.1,Vehicle,E6,normal
58.30,RedCar.2,Vehicle,:J5_13,internal
58.30,RedCar.3,Vehicle,-E4,normal
58.30,Ped1.0,Pedestrian,-E4,normal
58.30,Ped1.1,Pedestrian,-E4,normal
58.30,Ped1.2,Pedestrian,:J5_c1,crossing
58.30,Ped2.0,Pedestrian,-E6,normal
58.30,Ped2.1,Pedestrian,-E6,normal
58.30,Ped2.2,Pedestrian,:J5_c0,crossing
58.40,CyanCar.2,Vehicle,:J5_5,internal
58.40,CyanCar.3,Vehicle,-E6,normal
58.40,RedCar.1,Vehicle,E6,normal
58.40,RedCar.2,Vehicle,E6,normal
58.40,RedCar.3,Vehicle,-E4,normal
58.40,Ped1.0,Pedestrian,-E4,normal
58.40,Ped1.1,Pedestrian,-E4,normal
58.40,Ped1.2,Pedestrian,:J5_c1,crossing
58.40,Ped2.0,Pedestrian,-E6,normal
58.40,Ped2.1,Pedestrian,-E6,normal
58.40,Ped2.2,Pedestrian,:J5_c0,crossing
58.50,CyanCar.2,Vehicle,:J5_5,internal
58.50,CyanCar.3,Vehicle,-E6,normal
58.50,RedCar.1,Vehicle,E6,normal
58.50,RedCar.2,Vehicle,E6,normal
58.50,RedCar.3,Vehicle,-E4,normal
58.50,Ped1.0,Pedestrian,-E4,normal
58.50,Ped1.1,Pedestrian,-E4,normal
58.50,Ped1.2,Pedestrian,:J5_c1,crossing
58.50,Ped2.0,Pedestrian,-E6,normal
58.50,Ped2.1,Pedestrian,-E6,normal
58.50,Ped2.2,Pedestrian,:J5_c0,crossing
58.60,CyanCar.2,Vehicle,:J5_5,internal
58.60,CyanCar.3,Vehicle,-E6,normal
58.60,RedCar.1,Vehicle,E6,normal
58.60,RedCar.2,Vehicle,E6,normal
58.60,RedCar.3,Vehicle,-E4,normal
58.60,Ped1.0,Pedestrian,-E4,normal
58.60,Ped1.1,Pedestrian,-E4,normal
58.60,Ped1.2,Pedestrian,:J5_c1,crossing
58.60,Ped2.0,Pedestrian,-E6,normal
58.60,Ped2.1,Pedestrian,-E6,normal
58.60,Ped2.2,Pedestrian,:J5_c0,crossing
58.70,CyanCar.2,Vehicle,:J5_5,internal
58.70,CyanCar.3,Vehicle,-E6,normal
58.70,RedCar.2,Vehicle,E6,normal
58.70,RedCar.3,Vehicle,-E4,normal
58.70,Ped1.0,Pedestrian,-E4,normal
58.70,Ped1.1,Pedestrian,-E4,normal
58.70,Ped1.2,Pedestrian,:J5_c1,crossing
58.70,Ped2.0,Pedestrian,-E6,normal
58.70,Ped2.1,Pedestrian,-E6,normal
58.70,Ped2.2,Pedestrian,:J5_c0,crossing
58.80,CyanCar.2,Vehicle,:J5_5,internal
58.80,CyanCar.3,Vehicle,-E6,normal
58.80,RedCar.2,Vehicle,E6,normal
58.80,RedCar.3,Vehicle,-E4,normal
58.80,Ped1.0,Pedestrian,-E4,normal
58.80,Ped1.1,Pedestrian,-E4,normal
58.80,Ped1.2,Pedestrian,:J5_c1,crossing
58.80,Ped2.0,Pedestrian,-E6,normal
58.80,Ped2.1,Pedestrian,-E6,normal
58.80,Ped2.2,Pedestrian,:J5_c0,crossing
58.90,CyanCar.2,Vehicle,:J5_5,internal
58.90,CyanCar.3,Vehicle,-E6,normal
58.90,RedCar.2,Vehicle,E6,normal
58.90,RedCar.3,Vehicle,-E4,normal
58.90,Ped1.0,Pedestrian,-E4,normal
58.90,Ped1.1,Pedestrian,-E4,normal
58.90,Ped1.2,Pedestrian,:J5_c1,crossing
58.90,Ped2.0,Pedestrian,-E6,normal
58.90,Ped2.1,Pedestrian,-E6,normal
58.90,Ped2.2,Pedestrian,:J5_c0,crossing
59.00,CyanCar.2,Vehicle,:J5_5,internal
59.00,CyanCar.3,Vehicle,-E6,normal
59.00,RedCar.2,Vehicle,E6,normal
59.00,RedCar.3,Vehicle,-E4,normal
59.00,Ped1.0,Pedestrian,-E4,normal
59.00,Ped1.1,Pedestrian,-E4,normal
59.00,Ped1.2,Pedestrian,:J5_c1,crossing
59.00,Ped2.0,Pedestrian,-E6,normal
59.00,Ped2.1,Pedestrian,-E6,normal
59.00,Ped2.2,Pedestrian,:J5_c0,crossing
59.10,CyanCar.2,Vehicle,:J5_5,internal
59.10,CyanCar.3,Vehicle,-E6,normal
59.10,RedCar.2,Vehicle,E6,normal
59.10,RedCar.3,Vehicle,-E4,normal
59.10,Ped1.0,Pedestrian,-E4,normal
59.10,Ped1.1,Pedestrian,-E4,normal
59.10,Ped1.2,Pedestrian,:J5_c1,crossing
59.10,Ped2.0,Pedestrian,-E6,normal
59.10,Ped2.1,Pedestrian,-E6,normal
59.10,Ped2.2,Pedestrian,:J5_c0,crossing
59.20,CyanCar.2,Vehicle,:J5_5,internal
59.20,CyanCar.3,Vehicle,-E6,normal
59.20,RedCar.2,Vehicle,E6,normal
59.20,RedCar.3,Vehicle,-E4,normal
59.20,Ped1.0,Pedestrian,-E4,normal
59.20,Ped1.1,Pedestrian,-E4,normal
59.20,Ped1.2,Pedestrian,:J5_c1,crossing
59.20,Ped2.0,Pedestrian,-E6,normal
59.20,Ped2.1,Pedestrian,-E6,normal
59.20,Ped2.2,Pedestrian,:J5_c0,crossing
59.30,CyanCar.2,Vehicle,E4,normal
59.30,CyanCar.3,Vehicle,-E6,normal
59.30,RedCar.2,Vehicle,E6,normal
59.30,RedCar.3,Vehicle,-E4,normal
59.30,Ped1.0,Pedestrian,-E4,normal
59.30,Ped1.1,Pedestrian,-E4,normal
59.30,Ped1.2,Pedestrian,:J5_c1,crossing
59.30,Ped2.0,Pedestrian,-E6,normal
59.30,Ped2.1,Pedestrian,-E6,normal
59.30,Ped2.2,Pedestrian,:J5_c0,crossing
59.40,CyanCar.2,Vehicle,E4,normal
59.40,CyanCar.3,Vehicle,-E6,normal
59.40,RedCar.2,Vehicle,E6,normal
59.40,RedCar.3,Vehicle,-E4,normal
59.40,Ped1.0,Pedestrian,-E4,normal
59.40,Ped1.1,Pedestrian,-E4,normal
59.40,Ped1.2,Pedestrian,:J5_c1,crossing
59.40,Ped2.0,Pedestrian,-E6,normal
59.40,Ped2.1,Pedestrian,-E6,normal
59.40,Ped2.2,Pedestrian,:J5_c0,crossing
59.50,CyanCar.2,Vehicle,E4,normal
59.50,CyanCar.3,Vehicle,-E6,normal
59.50,RedCar.2,Vehicle,E6,normal
59.50,RedCar.3,Vehicle,-E4,normal
59.50,Ped1.0,Pedestrian,-E4,normal
59.50,Ped1.1,Pedestrian,-E4,normal
59.50,Ped1.2,Pedestrian,:J5_c1,crossing
59.50,Ped2.0,Pedestrian,-E6,normal
59.50,Ped2.1,Pedestrian,-E6,normal
59.50,Ped2.2,Pedestrian,:J5_c0,crossing
59.60,CyanCar.2,Vehicle,E4,normal
59.60,CyanCar.3,Vehicle,-E6,normal
59.60,RedCar.2,Vehicle,E6,normal
59.60,RedCar.3,Vehicle,-E4,normal
59.60,Ped1.0,Pedestrian,-E4,normal
59.60,Ped1.1,Pedestrian,-E4,normal
59.60,Ped1.2,Pedestrian,:J5_c1,crossing
59.60,Ped2.0,Pedestrian,-E6,normal
59.60,Ped2.1,Pedestrian,-E6,normal
59.60,Ped2.2,Pedestrian,:J5_c0,crossing
59.70,CyanCar.2,Vehicle,E4,normal
59.70,CyanCar.3,Vehicle,-E6,normal
59.70,RedCar.2,Vehicle,E6,normal
59.70,RedCar.3,Vehicle,-E4,normal
59.70,Ped1.0,Pedestrian,-E4,normal
59.70,Ped1.1,Pedestrian,-E4,normal
59.70,Ped1.2,Pedestrian,:J5_c1,crossing
59.70,Ped2.0,Pedestrian,-E6,normal
59.70,Ped2.1,Pedestrian,-E6,normal
59.70,Ped2.2,Pedestrian,:J5_c0,crossing
59.80,CyanCar.2,Vehicle,E4,normal
59.80,CyanCar.3,Vehicle,-E6,normal
59.80,RedCar.2,Vehicle,E6,normal
59.80,RedCar.3,Vehicle,-E4,normal
59.80,Ped1.0,Pedestrian,-E4,normal
59.80,Ped1.1,Pedestrian,-E4,normal
59.80,Ped1.2,Pedestrian,:J5_c1,crossing
59.80,Ped2.0,Pedestrian,-E6,normal
59.80,Ped2.1,Pedestrian,-E6,normal
59.80,Ped2.2,Pedestrian,:J5_c0,crossing
59.90,CyanCar.2,Vehicle,E4,normal
59.90,CyanCar.3,Vehicle,-E6,normal
59.90,RedCar.2,Vehicle,E6,normal
59.90,RedCar.3,Vehicle,-E4,normal
59.90,Ped1.0,Pedestrian,-E4,normal
59.90,Ped1.1,Pedestrian,-E4,normal
59.90,Ped1.2,Pedestrian,:J5_c1,crossing
59.90,Ped2.0,Pedestrian,-E6,normal
59.90,Ped2.1,Pedestrian,-E6,normal
59.90,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.00,CyanCar.2,Vehicle,E4,normal
60.00,CyanCar.3,Vehicle,-E6,normal
60.00,RedCar.2,Vehicle,E6,normal
60.00,RedCar.3,Vehicle,-E4,normal
60.00,Ped1.0,Pedestrian,-E4,normal
60.00,Ped1.1,Pedestrian,-E4,normal
60.00,Ped1.2,Pedestrian,:J5_c1,crossing
60.00,Ped2.0,Pedestrian,-E6,normal
60.00,Ped2.1,Pedestrian,-E6,normal
60.00,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.10,CyanCar.2,Vehicle,E4,normal
60.10,CyanCar.3,Vehicle,-E6,normal
60.10,RedCar.2,Vehicle,E6,normal
60.10,RedCar.3,Vehicle,-E4,normal
60.10,Ped1.0,Pedestrian,-E4,normal
60.10,Ped1.1,Pedestrian,-E4,normal
60.10,Ped1.2,Pedestrian,:J5_c1,crossing
60.10,Ped2.0,Pedestrian,-E6,normal
60.10,Ped2.1,Pedestrian,-E6,normal
60.10,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.20,CyanCar.2,Vehicle,E4,normal
60.20,CyanCar.3,Vehicle,-E6,normal
60.20,RedCar.2,Vehicle,E6,normal
60.20,RedCar.3,Vehicle,-E4,normal
60.20,Ped1.0,Pedestrian,-E4,normal
60.20,Ped1.1,Pedestrian,-E4,normal
60.20,Ped1.2,Pedestrian,:J5_c1,crossing
60.20,Ped2.0,Pedestrian,-E6,normal
60.20,Ped2.1,Pedestrian,-E6,normal
60.20,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.30,CyanCar.2,Vehicle,E4,normal
60.30,CyanCar.3,Vehicle,-E6,normal
60.30,RedCar.2,Vehicle,E6,normal
60.30,RedCar.3,Vehicle,-E4,normal
60.30,Ped1.0,Pedestrian,-E4,normal
60.30,Ped1.1,Pedestrian,-E4,normal
60.30,Ped1.2,Pedestrian,:J5_c1,crossing
60.30,Ped2.0,Pedestrian,-E6,normal
60.30,Ped2.1,Pedestrian,-E6,normal
60.30,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.40,CyanCar.2,Vehicle,E4,normal
60.40,CyanCar.3,Vehicle,-E6,normal
60.40,RedCar.2,Vehicle,E6,normal
60.40,RedCar.3,Vehicle,-E4,normal
60.40,Ped1.0,Pedestrian,-E4,normal
60.40,Ped1.1,Pedestrian,-E4,normal
60.40,Ped1.2,Pedestrian,:J5_c1,crossing
60.40,Ped2.0,Pedestrian,-E6,normal
60.40,Ped2.1,Pedestrian,-E6,normal
60.40,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.50,CyanCar.2,Vehicle,E4,normal
60.50,CyanCar.3,Vehicle,-E6,normal
60.50,RedCar.2,Vehicle,E6,normal
60.50,RedCar.3,Vehicle,-E4,normal
60.50,Ped1.0,Pedestrian,-E4,normal
60.50,Ped1.1,Pedestrian,-E4,normal
60.50,Ped1.2,Pedestrian,:J5_c1,crossing
60.50,Ped2.0,Pedestrian,-E6,normal
60.50,Ped2.1,Pedestrian,-E6,normal
60.50,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.60,CyanCar.2,Vehicle,E4,normal
60.60,CyanCar.3,Vehicle,-E6,normal
60.60,RedCar.2,Vehicle,E6,normal
60.60,RedCar.3,Vehicle,-E4,normal
60.60,Ped1.0,Pedestrian,-E4,normal
60.60,Ped1.1,Pedestrian,-E4,normal
60.60,Ped1.2,Pedestrian,:J5_w3,walkingarea
60.60,Ped2.0,Pedestrian,-E6,normal
60.60,Ped2.1,Pedestrian,-E6,normal
60.60,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.70,CyanCar.2,Vehicle,E4,normal
60.70,CyanCar.3,Vehicle,-E6,normal
60.70,RedCar.2,Vehicle,E6,normal
60.70,RedCar.3,Vehicle,-E4,normal
60.70,Ped1.0,Pedestrian,-E4,normal
60.70,Ped1.1,Pedestrian,-E4,normal
60.70,Ped1.2,Pedestrian,:J5_w3,walkingarea
60.70,Ped2.0,Pedestrian,-E6,normal
60.70,Ped2.1,Pedestrian,-E6,normal
60.70,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.80,CyanCar.2,Vehicle,E4,normal
60.80,CyanCar.3,Vehicle,-E6,normal
60.80,RedCar.2,Vehicle,E6,normal
60.80,RedCar.3,Vehicle,-E4,normal
60.80,Ped1.0,Pedestrian,-E4,normal
60.80,Ped1.1,Pedestrian,-E4,normal
60.80,Ped1.2,Pedestrian,:J5_w3,walkingarea
60.80,Ped2.0,Pedestrian,-E6,normal
60.80,Ped2.1,Pedestrian,-E6,normal
60.80,Ped2.2,Pedestrian,:J5_w1,walkingarea
60.90,CyanCar.2,Vehicle,E4,normal
60.90,CyanCar.3,Vehicle,-E6,normal
60.90,RedCar.2,Vehicle,E6,normal
60.90,RedCar.3,Vehicle,-E4,normal
60.90,Ped1.0,Pedestrian,-E4,normal
60.90,Ped1.1,Pedestrian,-E4,normal
60.90,Ped1.2,Pedestrian,:J5_w3,walkingarea
60.90,Ped2.0,Pedestrian,-E6,normal
60.90,Ped2.1,Pedestrian,-E6,normal
60.90,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.00,CyanCar.2,Vehicle,E4,normal
61.00,CyanCar.3,Vehicle,-E6,normal
61.00,RedCar.2,Vehicle,E6,normal
61.00,RedCar.3,Vehicle,-E4,normal
61.00,Ped1.0,Pedestrian,-E4,normal
61.00,Ped1.1,Pedestrian,-E4,normal
61.00,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.00,Ped2.0,Pedestrian,-E6,normal
61.00,Ped2.1,Pedestrian,-E6,normal
61.00,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.10,CyanCar.2,Vehicle,E4,normal
61.10,CyanCar.3,Vehicle,-E6,normal
61.10,RedCar.2,Vehicle,E6,normal
61.10,RedCar.3,Vehicle,-E4,normal
61.10,Ped1.0,Pedestrian,-E4,normal
61.10,Ped1.1,Pedestrian,-E4,normal
61.10,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.10,Ped2.0,Pedestrian,-E6,normal
61.10,Ped2.1,Pedestrian,-E6,normal
61.10,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.20,CyanCar.2,Vehicle,E4,normal
61.20,CyanCar.3,Vehicle,-E6,normal
61.20,RedCar.2,Vehicle,E6,normal
61.20,RedCar.3,Vehicle,-E4,normal
61.20,Ped1.0,Pedestrian,-E4,normal
61.20,Ped1.1,Pedestrian,-E4,normal
61.20,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.20,Ped2.0,Pedestrian,-E6,normal
61.20,Ped2.1,Pedestrian,-E6,normal
61.20,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.30,CyanCar.2,Vehicle,E4,normal
61.30,CyanCar.3,Vehicle,-E6,normal
61.30,RedCar.2,Vehicle,E6,normal
61.30,RedCar.3,Vehicle,-E4,normal
61.30,Ped1.0,Pedestrian,-E4,normal
61.30,Ped1.1,Pedestrian,-E4,normal
61.30,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.30,Ped2.0,Pedestrian,-E6,normal
61.30,Ped2.1,Pedestrian,-E6,normal
61.30,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.40,CyanCar.2,Vehicle,E4,normal
61.40,CyanCar.3,Vehicle,-E6,normal
61.40,RedCar.2,Vehicle,E6,normal
61.40,RedCar.3,Vehicle,-E4,normal
61.40,Ped1.0,Pedestrian,-E4,normal
61.40,Ped1.1,Pedestrian,-E4,normal
61.40,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.40,Ped2.0,Pedestrian,-E6,normal
61.40,Ped2.1,Pedestrian,-E6,normal
61.40,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.50,CyanCar.2,Vehicle,E4,normal
61.50,CyanCar.3,Vehicle,-E6,normal
61.50,RedCar.2,Vehicle,E6,normal
61.50,RedCar.3,Vehicle,-E4,normal
61.50,Ped1.0,Pedestrian,-E4,normal
61.50,Ped1.1,Pedestrian,-E4,normal
61.50,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.50,Ped2.0,Pedestrian,-E6,normal
61.50,Ped2.1,Pedestrian,-E6,normal
61.50,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.60,CyanCar.2,Vehicle,E4,normal
61.60,CyanCar.3,Vehicle,-E6,normal
61.60,RedCar.2,Vehicle,E6,normal
61.60,RedCar.3,Vehicle,-E4,normal
61.60,Ped1.0,Pedestrian,-E4,normal
61.60,Ped1.1,Pedestrian,-E4,normal
61.60,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.60,Ped2.0,Pedestrian,-E6,normal
61.60,Ped2.1,Pedestrian,-E6,normal
61.60,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.70,CyanCar.2,Vehicle,E4,normal
61.70,CyanCar.3,Vehicle,-E6,normal
61.70,RedCar.2,Vehicle,E6,normal
61.70,RedCar.3,Vehicle,-E4,normal
61.70,Ped1.0,Pedestrian,-E4,normal
61.70,Ped1.1,Pedestrian,-E4,normal
61.70,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.70,Ped2.0,Pedestrian,-E6,normal
61.70,Ped2.1,Pedestrian,-E6,normal
61.70,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.80,CyanCar.2,Vehicle,E4,normal
61.80,CyanCar.3,Vehicle,-E6,normal
61.80,RedCar.2,Vehicle,E6,normal
61.80,RedCar.3,Vehicle,-E4,normal
61.80,Ped1.0,Pedestrian,-E4,normal
61.80,Ped1.1,Pedestrian,-E4,normal
61.80,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.80,Ped2.0,Pedestrian,-E6,normal
61.80,Ped2.1,Pedestrian,-E6,normal
61.80,Ped2.2,Pedestrian,:J5_w1,walkingarea
61.90,CyanCar.2,Vehicle,E4,normal
61.90,CyanCar.3,Vehicle,-E6,normal
61.90,RedCar.2,Vehicle,E6,normal
61.90,RedCar.3,Vehicle,-E4,normal
61.90,Ped1.0,Pedestrian,-E4,normal
61.90,Ped1.1,Pedestrian,-E4,normal
61.90,Ped1.2,Pedestrian,:J5_w3,walkingarea
61.90,Ped2.0,Pedestrian,-E6,normal
61.90,Ped2.1,Pedestrian,-E6,normal
61.90,Ped2.2,Pedestrian,:J5_w1,walkingarea
62.00,CyanCar.2,Vehicle,E4,normal
62.00,CyanCar.3,Vehicle,-E6,normal
62.00,RedCar.2,Vehicle,E6,normal
62.00,RedCar.3,Vehicle,-E4,normal
62.00,Ped1.0,Pedestrian,-E4,normal
62.00,Ped1.1,Pedestrian,-E4,normal
62.00,Ped1.2,Pedestrian,:J5_w3,walkingarea
62.00,Ped2.0,Pedestrian,-E6,normal
62.00,Ped2.1,Pedestrian,-E6,normal
62.00,Ped2.2,Pedestrian,:J5_w1,walkingarea
62.10,CyanCar.2,Vehicle,E4,normal
62.10,CyanCar.3,Vehicle,-E6,normal
62.10,RedCar.2,Vehicle,E6,normal
62.10,RedCar.3,Vehicle,-E4,normal
62.10,Ped1.0,Pedestrian,-E4,normal
62.10,Ped1.1,Pedestrian,-E4,normal
62.10,Ped1.2,Pedestrian,:J5_w3,walkingarea
62.10,Ped2.0,Pedestrian,-E6,normal
62.10,Ped2.1,Pedestrian,-E6,normal
62.10,Ped2.2,Pedestrian,-E6,normal
62.20,CyanCar.2,Vehicle,E4,normal
